"BsmtFin SF 1","Bsmt Unf SF","Total Bsmt SF","1st Flr SF","2nd Flr SF","Gr Liv Area","SalePrice"
639,441,1080,1656,0,1656,215000
468,270,882,896,0,896,105000
923,406,1329,1329,0,1329,172000
1065,1045,2110,2110,0,2110,244000
791,137,928,928,701,1629,189900
602,324,926,926,678,1604,195500
616,722,1338,1338,0,1338,213500
263,1017,1280,1280,0,1280,191500
1180,415,1595,1616,0,1616,236500
0,994,994,1028,776,1804,189000
0,763,763,763,892,1655,175900
935,233,1168,1187,0,1187,185000
0,789,789,789,676,1465,180400
637,663,1300,1341,0,1341,171500
368,0,1488,1502,0,1502,212000
1416,234,1650,1690,1589,3279,538000
427,132,559,1080,672,1752,164000
1445,411,1856,1856,0,1856,394432
120,744,864,864,0,864,141000
790,589,1542,2073,0,2073,210000
705,1139,1844,1844,0,1844,190000
885,0,1053,1173,0,1173,170000
533,281,814,814,860,1674,216000
578,426,1004,1004,0,1004,149000
734,344,1078,1078,0,1078,149900
775,281,1056,1056,0,1056,142000
804,0,882,882,0,882,126000
432,432,864,864,0,864,115000
1051,354,1405,1337,0,1337,184000
156,327,483,483,504,987,96000
300,225,525,525,567,1092,105500
0,525,525,525,567,1092,88000
360,709,1069,1069,0,1069,127500
514,341,855,855,601,1456,149900
0,836,836,836,0,836,120000
311,544,855,855,601,1456,146000
0,1590,1590,1627,707,2334,376162
1218,486,1704,1704,0,1704,306000
1646,284,1930,1940,0,1940,395192
0,1544,1544,1544,0,1544,290941
1201,340,1541,1541,0,1541,220000
110,1588,1698,1698,0,1698,275000
28,1794,1822,1822,0,1822,259000
2,1515,1517,1535,0,1535,214000
2188,142,2330,2364,0,2364,611657
733,625,1358,1358,0,1358,224000
1373,1473,2846,2696,0,2696,500000
578,1093,1671,1687,563,2250,320000
456,1296,1752,1752,0,1752,319900
24,1346,1370,1370,0,1370,205000
0,764,764,764,862,1626,175500
0,1324,1324,1324,0,1324,199500
16,1129,1145,1145,0,1145,160000
24,1232,1256,1269,0,1269,192000
326,58,384,744,630,1374,184500
625,235,860,860,1100,1960,216500
0,847,847,847,886,1733,185088
250,134,384,774,656,1430,180000
0,884,884,884,1151,2035,222500
0,1393,1393,1422,1177,2599,333168
0,1629,1629,1645,830,2475,355000
919,801,1720,1720,0,1720,260400
1032,431,1463,1500,1122,2622,325000
524,628,1152,1164,1106,2270,290000
0,1195,1195,1195,644,1839,221000
816,1217,2033,2053,1185,3238,410000
0,1595,1595,1595,0,1595,221500
0,1218,1218,1218,0,1218,204500
24,732,756,764,783,1547,215200
1078,488,1566,1566,0,1566,262500
222,769,991,991,956,1947,254900
1414,54,1468,1468,0,1468,271500
656,300,956,956,1128,2084,233000
0,831,831,831,828,1659,181000
695,253,948,1222,888,2110,205000
543,261,923,923,0,923,143000
0,1055,1055,1055,790,1845,189000
0,918,918,918,0,918,99500
623,0,744,752,0,752,125000
402,594,996,1014,730,1744,194500
338,702,1040,1097,0,1097,152000
0,650,650,888,676,1564,171000
0,816,816,1012,0,1012,67500
0,0,0,1318,584,1902,112000
899,210,1109,1155,0,1155,148000
553,224,894,894,0,894,138500
450,432,882,900,0,900,122000
824,216,1040,1040,0,1040,133000
659,381,1040,1040,0,1040,127000
126,223,1208,1494,0,1494,169000
674,76,750,1061,862,1923,190000
250,0,1231,1251,1098,2349,362500
1129,261,1390,1402,823,2225,285000
1298,190,1488,1488,0,1488,260000
0,840,840,840,840,1680,190000
280,320,600,600,600,1200,155000
0,600,600,600,600,1200,151000
368,190,600,600,600,1200,149500
376,224,600,600,636,1236,152000
578,892,1470,1478,0,1478,222000
378,378,756,769,804,1573,177500
466,290,756,756,756,1512,177000
604,92,696,696,720,1416,155000
244,286,530,530,550,1080,147110
1032,610,1642,1418,0,1418,267916
484,491,975,975,873,1848,254000
728,0,728,788,0,788,155000
1052,174,1226,1226,0,1226,206000
533,192,725,725,754,1479,130500
833,659,1492,1492,0,1492,230000
506,1323,1829,1829,0,1829,218500
1137,143,1280,1280,1215,2495,243500
1200,410,1610,1610,0,1610,205000
687,491,1224,1287,604,1891,212500
394,586,980,980,734,1714,196500
982,179,1161,1381,0,1381,197500
329,386,715,930,715,1645,171000
698,534,1232,1232,0,1232,142250
569,678,1328,1328,0,1328,143000
569,381,950,1225,0,1225,128950
1059,150,1209,1209,0,1209,159000
1010,500,1510,1510,0,1510,178900
0,533,533,1131,644,1775,136300
1014,138,1152,1152,0,1152,180500
763,173,936,1054,0,1054,137500
1500,228,1728,1728,0,1728,84900
49,0,1078,1078,0,1078,142125
670,470,1140,1929,532,2461,197600
300,482,782,1019,537,1556,172500
696,162,858,858,0,858,116500
0,728,728,1306,0,1306,76500
354,412,1056,1063,0,1063,128000
674,350,1156,1520,0,1520,153000
540,728,1268,1268,0,1268,132000
944,136,1080,1128,0,1128,178000
443,662,1105,1105,1169,2274,154300
912,1035,1947,2207,0,2207,180000
247,557,1517,1888,0,1888,190000
0,1604,1604,1604,0,1604,135000
1188,292,1480,1480,0,1480,214000
856,125,1143,1143,0,1143,136000
1018,380,1398,1700,0,1700,165500
922,392,1314,1314,0,1314,145000
0,1194,1194,1194,0,1194,148000
1000,188,1188,1188,0,1188,142000
697,571,1268,1264,0,1264,167500
936,270,1206,1206,0,1206,108538
734,510,1244,1580,0,1580,159500
0,832,832,832,505,1337,108000
339,525,864,1064,0,1064,135000
648,324,972,972,0,972,122500
532,456,988,988,0,988,119000
731,326,1057,1057,0,1057,109000
0,576,576,985,0,985,105000
0,0,0,827,0,827,107500
320,404,1086,1086,0,1086,144900
248,448,936,936,0,936,129000
0,912,912,912,546,1458,97500
1056,0,1056,1056,0,1056,144000
72,733,1063,1287,0,1287,162000
0,710,710,1898,1080,2978,242000
481,161,816,816,408,1224,132000
340,0,1246,1246,0,1246,154000
507,403,910,910,475,1385,166000
234,180,900,900,0,900,134800
0,1116,1116,1116,0,1116,160000
588,237,1175,1175,0,1175,148000
717,415,1395,1395,0,1395,192000
0,756,756,1051,788,1839,155000
48,661,709,1157,687,1844,80400
0,576,576,792,348,1140,96500
579,357,936,936,0,936,109500
0,1008,1008,1028,0,1028,115000
274,0,1347,1347,0,1347,143000
0,840,840,840,765,1605,107400
0,747,747,747,0,747,80000
510,278,788,804,0,804,119000
234,0,926,926,0,1316,130000
0,827,827,827,424,1251,119000
780,247,1027,1027,606,1633,129000
176,832,1008,1060,185,1245,100000
0,678,678,832,0,832,12789
0,624,624,720,0,720,105900
0,930,930,930,636,1566,150000
686,0,686,966,686,1652,139000
0,346,346,1157,1111,2268,240000
0,840,840,1128,1128,2256,76500
600,312,912,1236,0,1236,149700
0,622,622,741,622,1363,125500
0,777,777,1246,1044,2290,122500
283,455,738,868,602,1470,140750
788,200,988,1030,582,1612,128500
474,634,1108,1160,908,2068,209500
188,577,765,765,0,765,87000
452,144,608,608,524,1132,134000
264,308,572,848,348,1196,128000
360,316,835,955,498,1453,132000
300,480,780,780,636,1416,139900
276,252,528,548,492,1040,123900
448,480,928,928,608,1536,138400
960,164,1124,1068,0,1068,109500
0,576,576,902,808,1710,140000
0,888,888,888,1074,1962,149500
0,780,780,780,780,1560,159900
0,662,662,662,662,1324,122000
104,0,816,816,0,816,110000
0,0,0,372,720,1092,55000
0,360,360,1032,780,1812,140000
0,1032,1032,1207,1196,2403,244400
766,656,1422,1675,0,1675,173000
0,689,689,725,499,1224,107500
1026,186,1212,1212,180,1392,100000
368,232,600,600,319,919,95000
73,634,707,942,942,1884,93369
736,120,856,936,744,1680,114900
0,780,780,780,240,1020,94000
704,1128,1832,1832,0,1832,136000
0,1768,1768,1768,0,1768,136500
841,198,1039,1039,0,1039,131500
1302,90,1392,1392,0,1392,121500
842,70,912,912,0,912,125000
188,204,1060,1060,0,1060,154000
240,150,864,892,0,892,137900
371,292,663,663,689,1352,158000
775,89,864,864,0,864,137250
1319,0,1319,1373,0,1373,160250
267,0,720,720,720,1440,163000
438,234,672,672,714,1386,158900
1201,105,1306,1306,954,2260,328000
1092,328,1420,1483,0,1483,270000
0,660,660,756,0,756,85000
442,625,1067,1067,0,1067,128000
1258,74,1332,1332,192,1524,260000
964,153,1117,1117,864,1981,230000
288,0,972,1052,558,1610,124000
108,350,458,835,0,835,83000
104,172,663,1074,0,1074,144500
739,405,1144,1144,0,1144,129000
192,564,756,1169,0,1531,127000
954,218,1172,1172,0,1172,128000
36,1176,1212,1212,0,1212,186000
1346,162,1508,1508,0,1508,308030
0,1250,1250,1298,0,1298,114000
0,0,0,930,0,930,84900
0,741,741,977,755,1732,178000
1433,0,1433,1433,0,1433,270000
860,86,946,964,838,1802,218000
750,300,1050,1062,887,1949,236000
747,189,936,996,0,996,147000
0,1694,1694,1694,0,1694,245350
686,501,1187,1208,0,1208,206000
0,1226,1226,1226,0,1226,198900
24,1198,1222,1222,0,1222,187000
1470,203,1673,1699,1523,3222,320000
0,676,676,831,614,1445,138500
504,506,1010,1052,0,1052,155000
870,0,870,965,0,965,159000
353,525,878,892,800,1692,191000
505,299,804,804,878,1682,200500
198,140,1026,1026,0,1026,150000
378,311,689,689,703,1392,161750
182,0,894,894,0,894,128200
480,396,876,876,0,876,127000
1682,296,1978,1978,0,1978,318000
1358,223,1581,1601,0,1601,272000
483,458,941,941,888,1829,237000
0,1040,1040,1044,1054,2098,240000
0,1649,1649,1661,0,1661,224900
672,176,848,848,0,848,143750
662,186,848,848,0,848,143000
370,315,1657,1668,0,1668,232000
712,761,1473,1484,0,1484,213000
24,1390,1414,1414,0,1414,185500
0,0,0,640,0,640,84900
0,381,381,992,0,992,155891
0,0,0,1664,0,1664,100000
1070,126,1196,1196,0,1196,144000
0,744,744,792,328,1120,64000
528,480,1008,1096,0,1096,125200
422,480,1029,1117,0,1117,107000
0,960,960,960,0,960,90000
0,1121,1121,1121,0,1121,140000
94,641,735,798,689,1487,113000
348,324,672,672,252,924,80000
383,833,1216,1526,0,1526,144500
133,974,1107,1296,0,1296,104000
0,806,806,841,806,1647,128000
203,661,864,864,0,864,58500
218,808,1026,1026,665,1691,127000
238,618,856,856,0,856,126000
0,0,0,862,1788,2650,160000
0,894,894,894,772,1666,100000
0,804,804,1699,748,2447,169000
426,850,1528,1225,908,2133,257500
375,657,1032,1102,1075,2177,215000
275,877,1152,1188,1152,2340,266500
1406,496,1902,1902,0,1902,335000
343,80,423,896,756,1652,203135
747,235,982,1034,0,1034,185000
76,1115,1191,1191,0,1191,162500
1247,254,1501,1801,0,1801,289000
735,61,796,796,358,1154,125500
480,0,480,540,0,540,82000
308,321,629,727,380,1107,110000
0,698,698,698,430,1128,68400
0,859,859,859,319,1178,102776
0,540,540,1044,0,1044,55993
0,756,756,952,0,952,50138
1373,221,1594,1646,0,1646,246000
615,434,1049,1036,880,1916,254900
679,564,1243,1285,0,1285,190000
0,1560,1560,1560,0,1560,201000
539,473,1012,1034,0,1034,169900
0,1958,1958,2048,0,2048,170000
353,60,747,1687,0,1687,160000
78,1258,1336,1346,0,1346,220000
0,1214,1214,1214,0,1214,179781
0,384,384,744,700,1444,174000
0,774,774,774,1194,1968,269500
624,193,817,824,1070,1894,214900
0,967,967,993,915,1908,202900
0,2002,2002,2018,0,2018,378500
42,1026,1068,1264,0,1264,169000
0,1430,1430,1430,0,1430,173500
0,912,912,912,912,1824,139000
0,1344,1344,1344,0,1344,166500
334,212,546,546,546,1092,83500
915,30,945,945,0,945,119500
129,175,536,536,576,1112,85000
176,370,546,546,546,1092,76000
150,0,630,630,0,630,75500
0,546,546,546,546,1092,88250
294,252,546,546,546,1092,85500
469,395,864,874,0,874,130000
593,595,1188,1188,0,1188,157900
207,36,833,833,0,833,149900
0,1216,1216,1216,1216,2432,159000
458,166,624,624,650,1274,136000
476,388,864,864,615,1479,161000
1341,54,1679,1803,0,1803,285000
944,208,1152,1152,645,1797,231000
564,318,882,882,0,882,124500
844,590,1434,1434,0,1434,157000
1410,542,1952,2000,704,2704,345000
847,98,945,945,663,1608,189500
850,158,1008,1008,1275,2283,270000
284,100,384,958,670,1628,189000
1320,426,1746,1746,0,1746,377500
0,384,384,804,670,1474,168500
1965,243,2208,2522,0,2522,375000
1158,343,1501,1659,0,1659,278000
341,1077,1418,1478,0,1478,240000
741,846,1587,1734,0,1734,239500
189,195,384,751,631,1382,177500
0,832,832,885,833,1718,185000
476,476,952,952,684,1636,191000
0,799,799,799,772,1571,178000
310,370,680,680,790,1470,185000
600,107,707,707,809,1516,181316
0,1181,1181,1190,0,1190,166000
0,808,808,808,785,1593,178000
0,702,702,702,779,1481,174000
560,598,1158,1167,0,1167,173000
694,284,978,1005,978,1983,225000
0,1424,1424,1442,0,1442,180500
1036,184,1220,1360,0,1360,187500
1904,312,2216,2234,0,2234,501837
0,2046,2046,2046,0,2046,372500
1274,256,1530,1530,0,1530,260000
400,722,1122,946,988,1934,185000
692,153,845,1153,1200,2353,260000
0,1362,1362,1586,0,1586,181000
822,564,1386,1411,0,1411,82500
1246,356,1602,1602,0,1602,215000
0,832,832,1154,896,2050,154000
363,1064,1427,1671,0,1671,200000
602,441,1043,1539,1134,2673,249000
1036,336,1372,1472,0,1472,187500
832,308,1140,1707,0,1707,184000
1104,1420,2524,2524,0,2524,278000
704,567,1271,1601,0,1601,157000
0,1090,1090,1370,0,1370,152000
381,399,780,1088,780,1868,197500
622,304,926,1016,868,1884,240900
544,288,832,832,1103,1935,263435
0,1058,1058,1058,816,1874,220000
225,471,972,972,839,1811,235000
1333,120,1621,1621,0,1621,213000
888,228,1116,1116,0,1116,167900
636,540,1176,1193,0,1193,158000
0,1064,1064,1350,0,1350,165000
0,689,689,1378,741,2119,158000
0,896,896,896,896,1792,136000
828,174,1002,1002,0,1002,148500
439,115,1026,1026,0,1026,156000
0,1180,1180,1180,0,1180,128000
500,543,1043,1050,0,1050,143000
726,138,864,864,0,864,76500
375,250,864,864,0,864,120500
191,673,864,864,0,864,124500
524,160,864,864,0,864,97000
240,624,864,864,0,864,130000
254,229,483,483,504,987,111000
765,0,765,765,600,1365,125000
0,630,630,630,672,1302,112000
110,79,483,483,504,987,97000
162,321,483,483,504,987,118000
231,399,630,630,672,1302,119500
958,0,958,958,0,958,143750
306,498,804,804,744,1548,146000
566,289,855,855,601,1456,148500
435,0,1057,1055,0,1055,123000
257,103,855,855,467,1322,147000
389,466,855,855,601,1456,137900
320,484,804,804,744,1548,147000
311,544,855,855,586,1441,148500
279,576,855,855,601,1456,138000
536,300,836,836,0,836,128500
432,460,892,892,0,892,100000
644,220,864,1120,0,1120,148800
1172,528,1700,1718,0,1718,337500
1360,416,1776,1794,978,2772,462000
0,1926,1926,1966,1174,3140,485000
1767,788,3094,2402,0,2402,555000
1572,80,1652,1652,0,1652,325000
0,1566,1566,1600,0,1600,256300
0,2042,2042,2042,0,2042,253293
986,379,1365,1365,1325,2690,398800
936,168,1104,1130,1054,2184,335000
1232,788,2020,2020,0,2020,404000
1436,570,2006,2020,0,2020,402861
1338,384,1722,1728,568,2296,451950
2288,342,2630,2674,0,2674,610000
0,1734,1734,1734,1088,2822,582933
0,1736,1736,1736,0,1736,360000
1531,251,1782,1782,0,1782,296000
1230,278,1508,1508,1012,2520,409900
0,1709,1709,1717,0,1717,255500
1015,724,1739,1743,0,1743,335000
1088,625,1713,1713,0,1713,274900
1037,467,1504,1531,0,1531,300000
1142,632,1774,1808,0,1808,324000
1170,292,1462,1462,762,2224,350000
1039,797,1836,1836,0,1836,280000
1124,1603,3206,1629,0,1629,284000
1262,498,1760,1760,0,1760,269500
0,1502,1502,1502,0,1502,233170
56,2336,2392,2392,0,2392,386250
1972,480,2452,2452,0,2452,445000
0,1082,1082,1105,1295,2400,290000
0,1598,1598,1606,0,1606,255900
836,522,1358,1358,0,1358,213000
900,406,1306,1306,0,1306,196000
881,425,1306,1306,0,1306,184500
876,474,1350,1358,0,1358,212500
904,410,1314,1314,0,1314,230000
2146,346,2492,2492,0,2492,552000
1557,643,2200,2200,0,2200,382500
800,1084,1884,1884,0,1884,320000
0,1451,1451,1456,0,1456,248500
1196,516,1712,1712,0,1712,286500
863,461,1324,1324,0,1324,254000
0,1405,1405,1405,0,1405,173000
567,197,764,764,862,1626,173000
0,728,728,728,728,1456,184000
0,745,745,745,745,1490,167800
0,742,742,742,742,1484,174000
0,684,684,684,876,1560,174000
0,1373,1373,1555,0,1555,174000
988,398,1386,1569,0,1569,175900
16,1357,1373,1555,0,1555,192500
16,1330,1346,1504,0,1504,181000
16,1204,1220,1220,0,1220,180000
16,1129,1145,1145,0,1145,160200
425,291,716,716,716,1432,188500
0,1010,1010,1010,1257,2267,200000
0,384,384,744,630,1374,170000
0,868,868,868,762,1630,189500
353,55,408,779,640,1419,184100
0,846,846,846,748,1594,195500
652,130,782,806,683,1489,192000
494,204,698,698,644,1342,178000
904,410,1314,1314,0,1314,207500
300,652,952,980,1276,2256,236000
651,219,870,878,1126,2004,257500
695,297,992,1022,1032,2054,244000
241,30,384,744,630,1374,167000
0,982,982,1007,793,1800,179000
683,111,794,819,695,1514,190000
0,384,384,774,656,1430,156000
913,264,1177,1223,1089,2312,245000
0,841,841,892,783,1675,181000
772,220,992,1022,1038,2060,214000
0,384,384,774,656,1430,168000
1163,89,1252,1268,1097,2365,337000
689,773,1462,1490,1304,2794,403000
1173,282,1455,1466,1221,2687,327000
781,503,1284,1310,1140,2450,340000
854,371,1225,1276,1336,2612,336000
0,1264,1264,1277,1067,2344,265000
236,262,2024,2063,0,2063,315000
987,360,1347,1372,1274,2646,260000
816,254,1070,1094,967,2061,260000
624,549,1173,1215,1017,2232,263550
1361,88,1629,1686,762,2448,402000
595,378,973,979,871,1850,248000
0,1468,1468,1468,0,1468,244600
0,1696,1696,1696,0,1696,275000
0,1614,1614,1658,0,1658,257500
0,1573,1573,1578,0,1578,287090
1294,408,1702,1702,0,1702,275500
379,1043,1422,1432,0,1432,245000
341,772,1113,1113,858,1971,253000
2158,300,2458,2490,0,2490,468000
822,78,900,932,920,1852,252678
0,768,768,786,804,1590,210000
27,1191,1218,1218,0,1218,208300
0,1436,1436,1436,0,1436,225000
936,364,1300,1314,0,1314,229456
0,1402,1402,1402,0,1402,229800
0,1530,1530,1530,0,1530,250000
1121,645,1766,1766,0,1766,370878
24,1348,1372,1448,0,1448,238500
765,252,1017,1026,981,2007,310000
682,218,900,909,886,1795,270000
0,1082,1082,1082,871,1953,252000
812,280,1092,1112,438,1550,241000
0,1836,1836,1836,0,1836,264500
1430,222,1652,1662,0,1662,291000
0,912,912,912,1182,2094,263000
410,811,1221,1221,0,1221,185000
771,422,1553,1553,0,1553,234500
410,402,812,812,841,1653,209000
0,1218,1218,1218,0,1218,159000
54,1087,1141,1141,0,1141,152000
0,1158,1158,1158,0,1158,143500
0,835,835,871,941,1812,193000
516,222,1512,1512,0,1512,203000
833,343,1176,1200,0,1200,184900
0,1114,1114,1114,0,1114,159000
0,1114,1114,1114,0,1114,142000
836,278,1114,1114,0,1114,153000
0,1450,1450,1450,0,1450,224243
637,276,913,913,1209,2122,220000
976,868,1844,1844,0,1844,257000
20,1434,1454,1434,0,1434,189000
52,400,816,833,897,1730,171500
0,626,626,626,591,1217,120000
0,1332,1332,1332,0,1332,145000
36,122,754,754,786,1540,184000
331,345,676,698,702,1400,162000
0,0,0,964,918,1882,160000
0,721,721,841,0,841,82000
0,784,784,784,0,784,76000
68,28,980,980,0,980,110000
560,420,980,980,0,980,135000
660,204,864,864,0,864,141000
864,0,864,864,0,864,122000
544,480,1024,1020,0,1020,124100
624,288,912,912,0,912,129000
594,270,864,1144,0,1144,131400
553,0,864,864,0,864,62383
140,182,912,912,0,912,123000
1733,189,2014,2014,0,2014,275000
601,158,975,975,780,1755,235000
0,1376,1376,1376,1629,3005,280750
0,612,612,612,612,1224,164500
294,318,612,612,612,1224,173733
0,1726,1726,1726,0,1726,222000
962,183,1145,1256,0,1256,195000
381,348,729,742,729,1471,172500
507,249,756,756,756,1512,180000
549,142,691,713,739,1452,156000
649,321,970,983,756,1739,172500
1252,306,1694,1694,0,1694,318750
960,266,1226,1226,0,1226,211500
121,1619,1740,1740,0,1740,241600
0,392,392,1487,1012,2499,180500
1116,165,1281,1620,0,1620,150000
298,429,727,829,727,1556,154000
0,1442,1442,1442,0,1442,185000
0,1489,1489,1489,0,1489,185750
859,216,1107,1107,983,2090,200000
560,150,752,1285,782,2067,206000
593,130,723,735,660,1395,162000
0,932,932,1271,1369,2640,256900
528,1152,1680,1724,0,1724,197900
553,588,1288,1336,0,1336,163000
955,261,1216,1216,0,1216,113000
432,476,908,1316,972,2288,230000
686,664,1350,1334,0,1334,167900
144,379,1650,1680,0,1680,213250
643,167,810,810,855,1665,227000
648,216,864,864,0,864,130000
0,1568,1568,1568,0,1568,143000
338,121,925,925,0,925,117500
698,467,1165,1165,896,2061,168500
962,270,1232,1320,0,1320,172500
251,491,1372,1342,0,1342,161500
734,160,894,894,0,894,141500
403,461,864,864,0,864,118000
612,252,864,864,0,864,127500
775,265,1040,1362,0,1362,140000
625,222,1048,1728,0,1728,177625
0,1584,1584,1776,0,1776,110000
196,975,1516,1516,0,1516,167000
310,491,1313,1313,0,1313,153000
998,294,1292,1292,0,1292,145100
740,184,1154,1154,0,1154,154000
388,356,744,825,1315,2140,177500
564,563,1127,1445,0,1445,158000
991,50,1041,1041,0,1041,124500
568,640,1208,1576,0,1576,174500
100,613,960,960,0,960,122000
280,140,420,708,0,708,82500
185,524,709,979,224,1203,110000
1024,481,1505,1505,0,1505,149500
1173,507,1680,1691,0,1691,175000
1285,131,1416,1644,0,1644,167000
504,546,1050,1050,0,1050,128900
120,736,856,1112,556,1668,140000
607,506,1113,1113,0,1113,147000
0,1584,1584,1584,0,1584,124000
1312,141,1453,1453,0,1453,187500
609,785,1394,1394,0,1394,159000
1387,175,1562,1567,0,1567,256000
454,314,768,1186,800,1986,205000
448,448,896,1182,960,2142,193500
0,1392,1392,1392,0,1392,110000
0,715,715,1281,457,1738,104900
856,313,1169,1144,0,1144,150000
189,628,1478,1478,0,1478,156500
544,785,1329,1329,0,1329,176000
708,280,988,988,0,988,149500
620,0,1240,1632,0,1632,139000
585,630,1215,1215,0,1215,155000
435,565,1202,1202,0,1202,120000
172,727,1382,1382,0,1382,153000
155,295,1200,1200,0,1200,144000
672,0,1362,1382,0,1382,176000
1213,84,1297,1297,0,1297,153000
0,1866,1866,1866,0,1866,135000
490,572,1062,1062,0,1062,131000
428,0,608,1319,0,1319,123000
308,323,631,1112,0,1112,126000
0,1005,1005,1005,0,1005,115000
650,178,1008,1363,0,1363,164900
700,93,793,793,0,793,113000
931,100,1031,1031,0,1031,145500
0,0,0,1210,0,1210,102900
440,538,978,1014,685,1699,95000
699,0,699,801,726,1527,152500
390,810,1200,1200,0,1200,129900
680,292,972,972,0,972,132000
0,792,792,792,0,792,99900
0,660,660,808,704,1656,135000
0,676,676,676,676,1352,149000
0,405,405,717,322,1039,114000
0,768,768,792,0,792,109500
0,1054,1054,1078,0,1078,125000
0,1313,1313,1313,0,2377,142900
0,560,560,930,760,1690,156500
0,416,416,599,0,599,59000
315,420,840,840,534,1374,105000
0,720,720,846,0,846,106000
0,630,630,725,0,725,78500
0,1248,1248,1248,1296,2544,190000
384,996,1380,1380,0,1380,154000
872,108,1040,1040,0,1040,163000
500,748,1248,1338,1296,2634,200000
745,206,951,951,0,951,143500
546,559,1105,1105,0,1105,135000
860,132,992,1306,0,1306,153000
1270,208,1478,1478,0,1478,157500
0,160,160,1142,0,1142,113500
375,457,832,1036,0,1268,133000
0,0,0,1040,0,1040,92900
621,174,795,765,368,1133,128500
0,0,0,1040,0,1040,90000
180,676,1208,1136,768,1904,138000
0,1041,1041,1041,0,1041,128000
504,525,1029,1339,0,1339,139000
630,0,732,732,0,732,118900
433,0,528,1183,0,1183,138000
1148,0,1148,1148,0,1148,132500
0,832,832,832,629,1461,133500
120,744,864,1064,0,1495,135000
0,780,780,993,813,1806,144750
941,0,941,941,0,941,145000
826,219,1045,1045,0,1045,127000
0,894,894,894,0,894,109500
468,350,818,818,406,1224,115000
0,440,440,682,548,1230,110000
0,901,901,861,517,1378,128900
633,339,972,972,972,1944,103500
0,676,676,676,455,1131,66500
0,240,240,810,496,1306,130000
0,504,504,764,700,1464,129000
421,269,690,868,690,1558,150000
0,994,994,1378,994,2372,107500
0,600,600,1101,600,1701,94550
0,960,960,960,1000,1960,124500
0,651,651,707,682,1389,135000
0,801,801,801,646,1447,103000
0,936,936,936,0,936,93000
384,384,768,768,560,1328,129500
0,811,811,811,576,1387,93000
0,861,861,861,0,861,80000
0,0,0,612,0,612,45000
0,600,600,600,368,968,37900
0,190,190,886,0,886,91300
0,624,624,792,0,792,99500
0,736,736,736,716,1452,113000
0,677,677,833,677,1510,87500
312,408,720,720,564,1284,110000
0,849,849,1075,1063,2138,106000
0,1240,1240,1320,1320,2640,265979
0,917,917,1090,917,2007,160000
0,624,624,664,624,1288,119000
216,700,916,916,826,1742,168000
0,624,624,816,0,816,58500
624,26,650,832,650,1482,143000
247,310,1022,1022,0,1022,85000
1088,0,1088,1188,561,1869,124900
0,972,972,1044,0,1480,119000
0,741,741,780,741,1521,146500
