"BsmtFin SF 1","Bsmt Unf SF","Total Bsmt SF","1st Flr SF","2nd Flr SF","Gr Liv Area","SalePrice"
495,225,720,720,0,720,34900
0,245,245,797,0,797,44000
1309,15,1324,1072,504,1576,223500
0,1022,1022,1432,0,1432,149000
0,952,952,952,596,1548,205000
0,297,297,1001,653,1654,137000
0,952,952,952,0,952,121000
672,0,672,757,567,1324,128000
0,698,698,786,390,1176,134900
0,884,884,884,464,1348,117000
0,780,780,825,587,1412,132500
220,248,468,822,320,1142,93000
0,884,884,904,0,904,119000
405,740,1145,1301,0,1301,100000
0,927,927,1067,472,1539,141500
0,884,884,989,584,1573,133000
0,264,264,800,0,800,60000
209,506,715,875,0,875,105000
0,960,960,995,0,995,115000
273,679,952,994,588,1582,150000
134,938,1072,1072,0,1072,126500
0,844,844,1445,689,2134,214500
0,728,728,1136,883,2019,167500
0,1048,1048,1048,720,1768,155000
299,611,910,916,910,1826,155000
0,672,672,1272,672,1944,179900
0,755,755,929,929,2229,104000
0,1040,1040,1088,1040,2128,62500
522,198,720,1146,784,1930,149000
152,628,780,848,0,1208,103000
0,483,483,741,686,1427,123000
169,851,1020,978,886,1864,97500
0,1204,1204,1204,462,1666,135000
749,46,858,892,0,892,70000
276,160,698,754,649,1403,116000
0,560,560,704,0,704,88750
1200,0,1200,1200,0,1200,179000
1200,0,1200,1200,0,1200,179000
1152,0,1152,1152,0,1152,159900
350,333,683,904,0,904,61000
551,121,672,697,672,1369,103600
0,585,585,687,425,1112,63000
444,76,520,1464,0,1464,175000
651,470,1121,1121,0,1121,139000
226,192,918,918,765,1683,172500
527,525,1052,1052,0,1052,113500
450,414,864,899,0,899,130000
456,0,456,1034,0,1034,149900
685,173,858,858,0,858,134900
672,168,840,860,0,860,137000
170,252,1092,1092,0,1092,139000
0,552,552,904,611,1774,165000
588,550,1138,1138,0,1138,148000
0,825,825,2071,0,2071,165000
0,0,0,660,0,660,63900
0,1104,1104,1104,684,1788,161500
1324,113,1437,1473,0,1473,143000
1059,75,1134,1229,0,1229,135000
262,599,861,861,0,861,82500
379,470,1617,1867,0,1867,190000
0,0,0,1733,0,1733,139600
0,0,0,1383,0,1383,122000
0,1436,1436,1689,0,1689,127500
257,816,1073,1073,0,1073,121500
0,1276,1276,1276,0,1276,60000
342,405,747,892,747,1639,154400
344,328,672,672,0,672,113000
173,916,1089,1089,0,1089,125000
0,0,0,845,0,845,84000
552,104,1049,1049,0,1049,139500
292,476,768,1148,568,1716,131000
204,356,560,698,560,1258,105000
0,755,755,755,755,1510,108000
460,308,1054,1061,0,1061,162000
70,0,520,1338,0,1338,156500
1441,55,1496,1496,636,2132,316600
485,1496,2158,2196,0,2196,271900
513,227,740,1006,769,1775,213000
474,605,1079,1079,800,1879,239900
584,544,1128,1142,878,2020,239500
0,0,0,1288,728,2016,131000
0,0,0,1535,0,1535,118964
1086,0,1086,1224,0,1224,153337
0,0,0,1114,1114,2228,147983
0,0,0,1535,0,1535,118858
0,0,0,1535,0,1535,118858
0,0,0,1120,1120,2240,142953
1094,0,1094,1229,0,1229,148325
0,0,0,1513,0,1513,113722
820,348,1168,1168,1619,2787,269500
820,348,1168,1168,1619,2787,269500
820,348,1168,1168,1619,2787,269500
1021,534,1555,1680,0,1680,323262
1288,417,1705,1718,0,1718,297000
0,1622,1622,1630,0,1630,295493
1104,616,1720,1720,0,1720,332000
0,1468,1468,1468,0,1468,239900
20,846,866,866,902,1768,212000
1359,479,1838,1838,0,1838,272500
0,1800,1800,1800,0,1800,239000
1334,270,1604,1604,0,1604,220000
902,380,1282,1290,0,1290,200000
872,382,1254,1254,0,1254,221800
724,508,1232,1232,0,1232,194500
24,1474,1498,1498,0,1498,237000
0,704,704,704,718,1422,173000
1518,0,1518,1644,0,1644,275000
800,649,1449,944,815,1759,233500
249,0,1013,1160,966,2126,185000
732,308,1040,1040,0,1040,152000
755,235,990,990,0,990,143000
821,107,928,928,836,1764,231500
385,70,799,827,834,1661,212000
950,513,1463,1463,0,1463,207000
0,1097,1097,1097,0,1097,145000
746,244,990,990,0,990,138000
0,866,866,866,913,1779,197900
679,811,1490,1501,0,1501,204000
560,871,1431,1431,0,1431,192000
606,322,928,928,844,1772,200000
0,831,831,831,829,1660,195000
788,785,1573,1573,0,1573,227000
666,278,944,944,896,1840,230000
0,1413,1413,1430,0,1430,187100
1259,172,1431,1444,0,1444,203000
24,1468,1492,1492,0,1492,201000
616,424,1040,1040,0,1040,124000
625,282,907,907,0,907,140000
710,132,914,914,0,914,134900
532,364,1040,1040,0,1040,150500
646,218,864,864,0,864,136500
196,1072,1268,1268,0,1268,143500
460,404,864,864,0,864,133500
777,117,894,894,0,894,123000
660,108,768,768,0,768,133900
656,112,768,768,0,768,133000
1234,335,1569,1611,0,1611,250000
0,1068,1068,1068,1116,2184,254750
0,1753,1753,1788,0,1788,236500
990,309,1299,1299,573,1872,261500
904,536,1440,1476,677,2153,313000
0,840,840,840,885,1725,198500
0,944,944,944,926,1870,211000
1246,216,1462,1513,0,1513,220000
690,814,1504,1504,0,1504,203000
1360,462,1822,1828,0,1828,279500
1111,306,1417,1417,0,1417,210000
739,318,1057,1057,977,2034,219500
0,880,880,909,807,1716,191000
0,1212,1212,1212,0,1212,178000
0,1630,1630,1630,0,1630,213000
685,163,848,848,0,848,144000
685,163,848,848,0,848,140000
1478,100,1578,1602,0,1602,293200
0,864,864,864,864,1728,190000
20,1480,1500,1500,0,1500,190000
193,545,738,738,738,1476,173500
0,608,608,608,788,1396,170000
0,0,0,1126,0,1126,108000
637,849,1486,1486,0,1486,167000
690,126,816,816,0,816,100000
0,0,0,495,1427,1922,198500
535,155,690,698,728,1426,159500
399,615,1014,1149,0,1149,127000
631,410,1041,1125,0,1125,125000
1234,464,1698,1698,0,1698,320000
547,0,547,1072,0,1072,145500
0,698,698,698,0,698,118000
332,301,876,876,0,876,85000
1078,0,1078,1368,0,1368,120000
0,0,0,1088,441,1529,98000
0,864,864,864,0,864,99900
0,0,0,944,0,944,82000
0,1678,1678,1678,0,1678,119900
546,604,1150,1560,0,1560,103500
0,672,672,960,0,960,112000
0,684,684,684,512,1196,110000
626,94,720,854,444,1298,122000
408,156,984,984,620,1604,117000
832,0,832,832,436,1268,160000
182,611,793,848,672,1520,159434
290,0,290,438,0,438,60000
0,778,778,944,545,1489,139500
523,301,824,1687,998,3082,197000
0,583,583,647,595,1242,105000
622,500,1122,1328,653,1981,135000
0,816,816,1232,0,1232,147500
264,712,976,1160,448,1608,137450
350,0,560,575,560,1135,155000
0,896,896,1172,741,1913,177000
0,861,861,877,600,1477,145000
0,600,600,628,600,1228,137000
0,1276,1276,1276,804,2080,234000
728,112,840,840,727,1567,205000
547,224,771,753,741,1494,177500
428,300,728,976,332,1308,160000
793,480,1273,1273,0,1273,155000
713,163,876,964,0,964,163500
0,731,731,820,523,1343,154900
246,674,920,1240,1240,2480,205000
154,264,1112,1112,0,1112,144800
275,429,704,860,704,1564,174500
65,621,1561,1561,0,1561,193000
312,248,1067,986,537,1523,158000
0,1092,1092,1152,0,1152,158500
784,91,1310,1906,0,1906,224000
0,516,516,516,516,1032,115000
471,90,561,561,668,1229,137000
0,561,561,561,668,1229,121000
285,276,561,561,668,1229,124000
454,118,572,1182,800,1982,208000
803,581,1803,2365,0,2365,315000
808,72,880,1680,0,1680,222000
456,216,672,672,672,1344,147000
0,760,760,928,928,2168,123000
0,596,596,596,596,1192,78000
0,1013,1013,1013,0,1526,85000
0,572,572,572,0,572,75000
1476,120,1596,1648,0,1648,230000
0,0,0,810,0,810,57625
445,412,1107,1040,1012,2052,251000
1351,83,1434,1518,631,2149,239686
0,1710,1710,1710,0,1710,240000
690,114,804,804,1157,1961,215000
767,135,902,926,0,926,156450
841,0,957,1287,0,1287,173000
0,0,0,1302,432,1734,126000
611,577,1188,1217,0,1217,173000
55,1527,1582,1595,0,1595,152000
111,354,819,1344,0,1344,137500
1236,80,2136,2036,0,2036,375000
1022,598,1620,1620,0,1620,315500
0,846,846,846,846,1692,224500
1758,432,2190,2036,0,2036,410000
1115,526,1641,1641,0,1641,316500
16,1450,1466,1466,0,1466,201000
1005,387,1392,1412,0,1412,175000
462,250,712,1375,862,2237,204000
904,117,1645,1479,0,1479,213500
1005,262,1267,1296,0,1296,220000
0,912,912,1072,942,2014,170000
1260,578,1838,1838,0,1838,315000
1640,338,1978,1978,0,1978,425000
532,476,1008,1008,0,1008,139500
0,0,0,1771,0,1771,115000
866,338,1204,1204,0,1204,162000
883,341,1224,1224,0,1224,165000
462,0,462,526,462,988,91000
510,354,864,874,0,874,130000
515,115,630,630,0,630,86000
594,594,1188,1404,0,1404,160000
509,121,630,630,0,630,80000
0,546,546,798,546,1344,97000
273,0,546,546,546,1092,88000
720,0,796,796,0,796,131900
114,0,384,1091,0,1091,131250
1097,0,1097,1110,0,1110,165500
625,208,833,833,0,833,112000
718,0,828,883,0,883,149000
732,64,796,796,566,1362,143000
330,294,624,624,663,1287,130000
1567,0,1567,1567,0,1567,196000
496,0,784,784,848,1632,173000
528,245,1184,1414,0,1414,176500
865,340,1205,2117,0,2117,237500
500,176,952,1092,1020,2112,206900
706,220,926,926,678,1604,187500
476,204,680,680,790,1470,165000
851,75,926,926,678,1604,195500
828,115,943,943,695,1638,192000
138,778,916,916,720,1636,173000
450,898,1348,1384,0,1384,177900
604,125,729,729,717,1446,175000
1153,440,1593,1593,0,1593,286000
656,1008,1664,1682,0,1682,247900
733,604,1337,1337,0,1337,180000
0,1280,1280,1280,0,1280,180000
0,926,926,926,678,1604,181000
0,932,932,932,701,1633,183000
219,554,773,773,885,1658,188000
0,712,712,1086,809,1895,194500
504,332,836,851,858,1709,185000
767,461,1228,1228,0,1228,189000
319,1018,1337,1337,0,1337,188500
16,1152,1168,1168,1332,2500,355000
0,1122,1122,1134,1370,2504,325000
1337,547,1884,1884,0,1884,387000
0,1632,1632,1474,0,1474,115000
1034,676,1710,1710,0,1710,334000
0,1488,1488,1488,0,1488,133000
0,791,791,1236,857,2093,215000
983,692,1675,1688,0,1688,226500
588,606,1422,1422,0,1422,175500
747,513,1260,1260,0,1260,181900
1206,656,2048,2064,0,2064,235000
864,469,1782,1782,0,1782,220000
896,434,1330,1542,1330,2872,272000
890,273,1211,1211,0,1211,161000
767,266,1126,1126,0,1126,175000
0,738,738,1277,767,2044,185000
280,440,720,720,588,1308,146900
988,432,1420,1420,1420,2840,292500
644,549,1193,1523,0,1523,180000
0,1444,1444,1444,0,1444,159900
403,400,803,1098,866,1964,205000
1084,92,1176,1178,0,1178,157000
1023,213,1236,1236,1104,2340,306000
0,896,896,896,896,1792,133000
602,14,1054,1054,0,1054,151000
252,684,936,936,0,936,111900
119,132,864,864,0,864,123000
600,264,864,864,0,864,111250
266,1139,1405,1337,0,1337,181000
458,25,483,483,504,987,103400
330,153,483,483,504,987,100000
483,0,483,483,504,987,100500
321,162,483,483,504,987,106000
387,96,483,483,504,987,85400
358,125,483,483,504,987,89500
350,280,630,630,672,1302,111750
559,510,1069,1069,0,1069,140000
286,275,855,855,601,1456,143000
378,677,1055,1055,0,1055,148500
340,524,864,892,0,892,110000
1336,596,1932,1932,0,1932,394617
1280,402,1682,1742,590,2332,426000
1636,442,2078,2084,0,2084,385000
1330,122,1452,1476,1237,2713,446261
1012,570,1582,1582,0,1582,317500
1400,310,1710,1710,0,1710,372402
1728,195,2418,2464,0,2464,417500
1375,575,1950,1950,0,1950,383000
1420,430,1850,1850,898,2748,390000
1082,538,1620,1632,1158,2790,460000
1249,165,1414,1414,917,2331,379000
40,908,948,948,1140,2088,250000
856,292,1148,1170,1162,2332,316000
2257,278,2535,2470,0,2470,615000
1016,556,1572,1572,1096,2668,412500
866,132,998,1006,1040,2046,284000
1149,454,1603,1575,0,1575,284000
1075,404,1479,1515,1134,2649,421250
0,1765,1765,1804,886,2690,370000
372,1486,1858,1866,0,1866,336860
1540,162,1702,1702,0,1702,367294
20,1347,1367,1367,0,1367,192000
1218,300,1518,1518,0,1518,274000
28,1656,1684,1684,0,1684,266000
1204,596,1800,1800,0,1800,370967
846,496,1342,1342,0,1342,234250
24,1318,1342,1342,0,1342,219500
0,764,764,764,862,1626,155000
573,191,764,764,862,1626,154000
720,638,1358,1358,0,1358,207000
1073,342,1415,1455,0,1455,195000
1087,306,1393,1576,0,1576,219990
16,1330,1346,1504,0,1504,191000
0,1266,1266,1266,0,1266,159895
0,1146,1146,1246,0,1246,187687
0,789,789,813,702,1515,179000
759,80,839,864,729,1593,193000
655,201,856,1166,0,1166,190000
0,728,728,728,728,1456,176000
0,840,840,840,880,1720,188000
0,847,847,847,1139,1986,213000
876,474,1350,1358,0,1358,217300
0,936,936,962,830,1792,186500
544,438,982,1008,884,1892,226750
724,64,788,788,702,1490,184000
0,707,707,707,707,1414,176000
870,167,1037,1037,1285,2322,225000
0,831,831,873,778,1651,185900
0,1173,1173,1182,1017,2199,284500
986,484,1470,1470,1160,2630,315000
655,490,1145,1145,1053,2198,250000
0,1519,1519,1533,639,2172,291000
1660,322,1982,2006,0,2006,350000
851,213,1064,1064,1061,2125,279500
0,1242,1242,1251,1250,2501,290000
1696,413,2109,2113,0,2113,350000
1173,138,1311,1325,1093,2418,341000
228,0,1080,1108,1089,2197,287500
1000,223,1223,1223,904,2127,271000
1314,672,1986,1987,0,1987,301500
0,1580,1580,1580,0,1580,235128
0,894,894,894,1039,1933,214000
24,1550,1574,1574,0,1574,232000
1096,482,1578,1578,0,1578,240000
0,1498,1498,1506,0,1506,264132
33,1530,1563,1563,0,1563,245000
0,1417,1417,1428,0,1428,227680
0,1341,1341,1341,520,1861,257000
729,226,955,955,919,1874,297900
666,794,1460,1460,0,1460,247000
24,1339,1363,1372,0,1372,212700
0,1372,1372,1372,0,1372,250580
0,1428,1428,1428,0,1428,182000
400,466,866,866,902,1768,226700
0,1053,1053,1053,939,1992,250000
0,1026,1026,1026,932,1958,250000
789,245,1034,1050,1028,2078,339750
0,813,813,822,843,1665,205950
0,1660,1660,1660,0,1660,256000
902,316,1218,1218,0,1218,230348
503,361,864,864,864,1728,207500
680,400,1080,1080,0,1080,141000
80,200,835,835,861,1696,188000
0,835,835,835,828,1663,192500
80,1095,1175,1175,0,1175,146000
646,468,1114,1114,0,1114,159000
814,300,1114,1114,0,1114,155000
0,798,798,798,842,1640,173000
0,1162,1162,1162,0,1162,170000
362,392,754,754,855,1609,182000
602,284,886,886,794,1680,163000
1138,270,1408,1679,0,1679,193500
537,295,832,832,825,1657,189000
472,355,827,827,850,1677,190500
397,439,836,844,893,1737,175000
1200,78,1278,1294,0,1294,179200
426,406,832,832,878,1710,187000
165,598,1604,1617,0,1617,193000
300,899,1199,1199,0,1199,153900
53,132,984,984,0,984,128000
737,175,912,912,0,912,144000
764,100,864,864,0,864,135000
890,0,890,890,0,890,115000
489,375,864,864,0,864,119916
832,80,912,912,0,912,142000
800,630,1430,1430,0,1430,192000
190,0,1001,1001,640,1641,140000
704,226,930,1364,1319,2683,290000
520,1328,1848,1827,959,2786,372500
16,1375,1391,1391,0,1391,196000
0,625,625,625,625,1250,171900
24,1211,1235,1245,0,1245,178000
390,210,600,600,600,1200,165000
0,689,689,703,689,1392,146000
0,689,689,703,689,1392,146000
549,195,744,757,744,1501,179400
550,194,744,757,792,1549,172900
1027,587,1614,1638,0,1638,300000
1004,306,1310,1310,0,1310,285000
964,455,1419,1419,0,1419,290000
1141,416,1557,1557,0,1557,305000
1238,460,1698,1709,0,1709,328900
510,90,600,624,628,1252,160000
600,72,672,684,720,1404,170000
681,177,858,872,917,1789,223000
612,348,960,962,624,1586,170000
813,147,960,962,645,1607,200000
128,0,970,1469,924,2393,345000
786,474,1260,1288,0,1288,245500
560,0,1230,1239,0,1239,217500
1619,100,1719,1719,0,1719,324000
660,572,1232,1232,0,1232,162500
410,584,994,1599,1345,2944,150000
1044,0,1426,1671,0,1671,290000
0,952,952,952,860,1812,205000
0,1304,1304,1682,0,1682,174000
828,599,1427,1427,0,1427,183000
301,1439,1740,1740,0,1740,150000
656,602,1258,1258,0,1258,145000
603,723,1620,1620,0,1620,215000
0,1625,1625,1625,0,1625,140500
956,384,1522,1548,1066,2614,240000
732,0,732,732,732,1464,141000
595,317,912,912,0,912,147000
260,196,912,925,0,925,135000
0,1728,1728,1728,0,1728,145000
231,1497,1728,1728,0,1728,142600
0,1656,1656,1656,0,1656,135000
583,242,825,845,825,1670,170000
575,487,1142,1175,1540,2715,299800
442,459,901,943,933,1876,185000
400,336,800,800,832,1632,173000
867,77,944,999,0,999,178400
552,280,832,1098,880,1978,176000
0,0,0,1014,0,1014,98000
288,619,907,907,0,907,109008
228,724,952,952,0,952,135750
776,344,1120,1128,0,1128,155000
490,935,1425,1425,0,1425,180500
312,276,1127,1165,0,1165,174900
892,244,1136,1136,0,1136,140000
787,305,1092,1092,0,1092,145000
633,586,1219,1265,0,1265,179900
624,288,1248,1350,0,1350,168500
0,1114,1114,1114,0,1114,140000
806,247,1053,1053,0,1053,145500
0,1252,1252,1252,0,1252,142000
419,375,1100,1100,0,1100,141000
528,590,1118,1118,0,1118,153000
0,0,0,720,0,720,72500
0,270,270,729,0,729,52000
851,140,991,1077,0,1077,118000
120,228,348,453,453,906,87000
658,638,1296,1496,0,1496,141500
280,752,1032,1032,220,1252,119000
32,232,572,1337,0,1337,141500
831,161,992,1661,0,1661,165500
531,505,1036,1036,0,1036,112900
454,410,864,902,918,1820,201800
288,700,1362,1362,0,1362,163000
572,572,1144,1144,0,1144,139950
0,1319,1319,1537,0,1537,174000
371,728,1099,1431,0,1431,165000
575,529,1104,1104,884,1988,227000
902,196,1098,1098,0,1098,135000
25,247,1144,1144,0,1144,124000
504,319,931,1283,0,1283,140000
621,503,1176,1176,0,1176,136500
1053,195,1248,1440,0,1440,185000
662,599,1261,1261,0,1261,163000
958,437,1395,1570,0,1570,166800
616,580,1196,1196,0,1196,139000
1040,352,1392,1392,0,1392,166000
570,510,1080,1080,0,1080,136000
774,330,1104,1104,0,1104,133000
148,572,720,882,0,882,116000
500,456,1152,1152,0,1152,137500
624,232,984,950,0,950,130000
0,998,998,1790,0,1790,180000
852,100,952,952,0,952,139000
570,203,773,773,0,773,110000
0,0,0,1764,0,1764,100000
442,390,832,832,384,1216,118500
0,1824,1824,1824,0,1824,146000
0,0,0,869,0,869,89900
0,747,747,747,412,1159,114000
580,333,913,1048,510,1558,140000
0,672,672,672,0,672,86900
0,892,892,1254,182,1436,139000
0,0,0,694,600,1294,106250
319,539,858,858,858,1716,171000
744,168,912,1044,0,1044,139000
637,675,1312,1312,0,1312,186000
733,520,1253,1253,0,1253,157000
697,384,1081,1081,0,1081,148000
425,160,585,2069,0,2069,242000
0,105,105,910,0,910,116000
432,444,876,876,0,876,94000
0,0,0,1048,0,1048,98300
666,409,1075,1507,0,1507,127000
476,292,1256,1256,0,1256,159000
520,188,1027,1027,0,1027,125900
374,363,1269,1269,0,1269,155000
315,453,768,819,501,1320,138000
0,936,936,984,0,984,112500
0,832,832,832,0,832,105500
673,181,854,854,424,1278,127500
0,1800,1800,1800,0,1800,130000
370,398,768,1024,564,1588,150000
0,825,825,825,0,825,109500
400,380,780,983,813,1796,140000
674,0,780,798,813,1611,167900
0,1117,1117,1117,0,1117,136870
96,96,192,1133,0,1133,143000
0,680,680,764,0,764,73000
0,650,650,958,581,1539,157500
0,780,780,948,375,1323,122600
0,680,680,680,680,1360,111000
493,1017,1510,1584,1208,2792,256000
0,672,672,672,0,672,64000
0,728,728,728,728,1456,139500
0,828,828,828,658,1594,118000
0,1362,1362,1362,720,2082,200000
0,801,801,1095,561,1656,119164
360,576,936,960,780,1740,122250
0,931,931,1027,0,1027,120000
590,294,884,884,552,1436,155000
0,481,481,899,0,899,78000
0,684,684,684,396,1080,95000
104,516,789,789,0,789,115000
144,172,924,1122,0,1122,147000
445,459,904,904,595,1499,140000
0,407,407,407,0,407,46500
308,620,928,928,0,928,112500
0,901,901,901,0,901,107900
0,448,448,1588,0,1588,65000
0,1470,1470,1675,1818,3493,295000
0,797,797,830,797,1627,139500
0,876,876,876,540,1416,153900
116,508,624,730,720,1450,132000
0,624,624,624,720,1344,98000
0,346,346,709,308,1017,114000
234,739,973,1377,973,2350,130000
319,416,735,1134,924,2058,129500
0,572,572,884,656,1540,129400
141,548,689,689,689,1378,161000
0,482,482,1221,691,1912,163000
0,742,742,742,742,1484,128000
259,425,684,938,1215,2358,122000
0,572,572,572,539,1111,116900
0,1237,1237,1521,1254,2775,325000
0,723,723,723,363,1086,55000
0,1313,1313,1313,1182,2495,184000
200,784,984,984,0,984,110000
0,1050,1050,1050,745,1795,131500
0,0,0,882,0,882,97000
0,869,869,1093,0,1093,115500
406,329,1008,1143,0,1143,138000
0,672,672,1195,473,1668,108000
0,742,742,779,0,935,79500
175,849,1024,1144,594,1738,153000
784,0,784,784,0,784,109500
600,72,672,832,378,1210,124000
0,554,554,736,554,1290,106900
521,460,981,1014,658,1672,164900
0,949,949,949,0,949,119000
0,862,862,950,208,1158,120000
201,462,825,825,672,1497,157000
264,475,739,874,468,1342,105000
0,992,992,1013,0,1013,113000
68,497,565,565,651,1216,115000
,,,896,0,896,79000
80,624,704,624,512,1136,123000
0,0,0,808,0,808,81300
0,1078,1078,1128,445,1573,162900
300,449,989,1245,764,2009,150000
203,897,1100,1226,676,1902,123500
0,952,952,1022,752,1774,129900
0,611,611,751,611,1362,128000
0,520,520,520,0,520,68500
336,295,672,1072,213,1285,127000
0,833,833,1053,795,1848,207000
329,697,1026,1133,687,1820,184000
0,810,810,1170,546,1716,162500
399,484,883,988,517,1505,145000
210,0,816,838,0,838,130000
196,1046,1242,1242,742,1984,160000
0,588,588,833,833,1666,161000
0,796,796,825,784,1609,127500
0,768,768,768,0,768,93850
372,396,768,768,768,1536,136000
0,1272,1272,1272,0,1969,141000
0,880,880,880,428,1308,120000
0,1040,1040,1040,0,1040,127500
121,647,768,788,448,1236,127000
0,319,319,1035,371,1406,89500
180,0,825,825,0,825,125000
0,901,901,1088,110,1198,79900
0,451,451,759,0,759,85000
0,536,536,808,536,1344,82375
0,756,756,756,713,1469,135000
0,1046,1046,1054,0,1054,124000
250,210,952,1211,0,1211,134000
0,720,720,720,551,1271,135000
0,0,0,1120,468,1588,134432
351,112,644,808,547,1355,127500
784,197,981,1075,0,1075,148000
906,134,1040,1040,0,1040,129500
528,480,1008,1096,0,1096,157500
0,876,876,904,0,904,109900
758,234,992,992,0,992,145000
702,192,894,894,0,894,130000
450,0,450,1034,0,1034,153000
221,852,1073,1073,0,1073,120000
104,0,1060,1126,0,1126,152000
1198,0,1198,1258,0,1258,108959
1300,0,1300,1140,0,1140,95541
288,718,1006,1006,0,1006,80000
0,1228,1228,1228,0,1228,149350
634,326,960,960,0,960,144900
776,212,988,1188,0,1188,185000
1064,319,1383,1383,0,1383,165000
429,93,1602,1252,0,1252,235000
0,533,533,1021,580,1601,140000
0,672,672,672,0,672,108000
988,0,988,1721,0,1721,145000
336,240,576,864,486,1350,152400
704,160,864,904,0,904,144000
1003,288,1291,1291,0,1291,173000
392,768,1160,1156,866,2022,192000
599,925,1524,1524,0,1524,245000
226,96,1385,1363,0,1363,241500
1116,248,1364,1663,0,1663,256000
719,300,1019,1357,0,1357,177000
0,570,570,617,462,1079,125600
500,594,1094,1094,0,1094,155000
0,907,907,1307,1051,2358,240000
1035,545,1580,1518,0,1518,260000
0,1163,1163,1163,511,1674,185000
626,501,1127,1236,872,2108,235000
870,639,1509,1509,0,1509,159900
864,0,864,864,0,864,99600
324,297,621,621,648,1269,134500
241,229,861,961,406,1367,119000
969,148,1117,820,527,1347,107500
1040,124,1164,1164,0,1164,125000
0,572,572,572,524,1096,79000
236,0,616,616,495,1111,95000
1085,390,1475,1532,797,2329,262280
779,298,1077,1093,1721,2814,260000
1271,331,1602,1626,0,1626,226500
355,457,812,1101,1099,2200,225000
0,672,672,1302,735,2037,229000
0,628,628,628,728,1356,177439
0,1615,1615,1615,0,1615,248500
2085,186,2271,2276,0,2276,475000
1153,598,1751,1766,0,1766,395039
50,499,1080,1080,1017,2097,228000
770,631,1401,1511,0,1511,225000
262,197,1182,1643,0,1643,195000
462,154,616,616,1072,1688,200000
722,268,990,990,0,990,155000
0,1099,1099,1099,0,1099,144000
686,304,990,990,0,990,145000
1308,110,1418,1418,0,1418,226001
688,176,864,872,899,1771,215700
527,255,782,782,870,1652,207500
633,240,873,882,908,1790,193000
0,880,880,880,844,1724,188000
0,1468,1468,1479,0,1479,191000
922,572,1494,1494,0,1494,221000
361,602,963,963,829,1792,231500
663,265,928,928,895,1823,235000
486,434,920,920,866,1786,223500
280,167,938,938,0,938,130250
595,390,985,985,0,985,149900
781,83,864,1174,0,1174,158000
505,0,940,1026,0,1026,147000
294,782,1076,1076,0,1076,143195
88,180,864,1558,0,1558,163000
0,924,924,924,0,924,110000
390,474,864,864,0,864,127000
632,148,780,780,0,780,124900
0,1777,1777,1795,0,1795,230000
804,324,1128,1128,903,2031,237000
735,257,992,992,873,1865,235000
0,1257,1257,1290,871,2161,230500
668,336,1004,1004,848,1852,230000
252,901,1153,1153,878,2031,222500
0,1055,1055,1055,1208,2263,287000
1194,163,1357,1366,581,1947,274000
