"Gross Domestic Product At 2010 Market Prices","Goods Producing Industries","Manufacturing","Construction","Utilities","Other Goods Industries","Services Producing Industries","Wholesale & Retail Trade","Transportation & Storage","Accommodation & Food Services","Information & Communications","Finance & Insurance","Business Services","Other Services Industries","Ownership Of Dwellings","Gross Value Added At Basic Prices","Add: Taxes On Products","Year","Quater"
7052.1,2017.5,1308.9,508.9,130.2,83.6,4133.6,1361,543.1,236.5,37.9,344.6,1336.2,983.1,276.9,6510.1,608.8,1975,"1Q"
7154.8,2034.9,1303.3,533,131.3,85.8,4214.3,1418.3,571.5,239.9,34.1,327,1385.4,1002.4,281.8,6615.3,601,1975,"2Q"
7321.1,2202.6,1441.8,559,135.7,87.9,4198.3,1353.7,584.5,241.8,35,336.2,1384,1024.5,287.9,6767.6,617.2,1975,"3Q"
7435.2,2260.2,1462.9,591.8,138.3,93.1,4232.7,1333.1,589.7,246.9,37.1,359.9,1365.9,1026.3,290.9,6862.2,644.3,1975,"4Q"
7632.5,2334.5,1520.5,605,139.6,96.2,4349.1,1340.4,643.8,253.7,37.9,375.6,1368.8,1027.8,294.7,7059.1,637.6,1976,"1Q"
7683.9,2336.8,1504.4,622.4,142.7,96.7,4390,1375.3,647.8,255.6,39.6,359.3,1336.7,1050.4,296.2,7105.2,644.2,1976,"2Q"
7846.4,2407.3,1565.6,626.6,146.1,97.3,4481.1,1400.4,663.5,264.5,41.5,375.6,1338.5,1049,302.6,7274.3,627.8,1976,"3Q"
7942.8,2387.6,1581.8,576.6,149.5,94.7,4561.9,1407.8,687.5,271.2,39.5,402.8,1309.4,1061.2,308.7,7344.5,666.1,1976,"4Q"
8164.5,2467.5,1634.6,602.9,149.9,99.1,4687.3,1455.6,713.9,275.5,50.9,377.9,1369.2,1061.5,312.8,7556.6,673.4,1977,"1Q"
8315.7,2528.1,1690.2,591.6,159,98.7,4748.1,1495.2,728.3,284.1,45.1,391.5,1347.2,1066.6,319.3,7684.6,704.9,1977,"2Q"
8414.2,2537.5,1689,608.4,160.3,96.4,4825.7,1500.2,769,289.6,47.9,384.4,1360,1074.1,319.3,7774.6,715,1977,"3Q"
8541.9,2556.4,1733.5,571.1,163,95,4933.2,1535.7,798,293.3,51.4,381.9,1368.5,1087.9,327.2,7911.7,695.2,1977,"4Q"
8726.6,2560.5,1740.2,547.7,172.3,93.1,5091.7,1562.1,808.9,302.3,54.1,405.2,1352.2,1119.9,328,8068.7,735,1978,"1Q"
8898.9,2633.1,1820.9,537.6,173.3,93.4,5176.4,1556.2,842.7,306.9,59,432.3,1331.1,1131.8,330.7,8236.4,736,1978,"2Q"
9236.5,2750.5,1931.4,536.3,180.2,94.1,5361.7,1622.6,873.6,315.8,61.2,463.5,1336.4,1167.1,332,8553.3,756.7,1978,"3Q"
9462.1,2750.5,2011.6,563,187.5,94.1,5459.6,1619.2,903.6,319.5,63.5,484.8,1331.8,1200.4,333.3,8780.8,745.1,1978,"4Q"
9540.5,2908,2051.2,567,189.6,92.5,5464.6,1632.2,928.9,320.5,65.4,454.6,1381.6,1175,353.7,8845.1,765,1979,"1Q"
9832.7,2978.8,2100.7,583.4,190.4,96.2,5636.9,1648.9,970.1,332.4,68.1,478,1425.2,1211.2,358,9096.8,819.5,1979,"2Q"
10002.7,3017.6,2141,581.2,191.7,95.5,5738.3,1700.9,974.7,337.7,71.4,498.4,1419.6,1226.1,358.7,9241,854.9,1979,"3Q"
10401.8,3158,2258.1,598,195.6,97.8,5928.2,1706.2,1053.3,351.5,74.9,538.1,1449,1227.4,360.3,9589.1,922.2,1979,"4Q"
10632.8,3211.9,2278.4,632,201.8,93.1,6083.1,1692.1,1075.9,361.1,79.6,602.9,1452.9,1252.2,377.1,9809.8,930.1,1980,"1Q"
10808.7,3280.9,2331.7,641.9,203.6,96.5,6195.1,1742.4,1079.3,371.7,83.1,615.2,1485.8,1261.9,377.1,9998.8,902.4,1980,"2Q"
11039.6,3328,2369.8,647.7,205.1,97.9,6346.7,1764,1114.3,381.7,86.1,655.8,1487.7,1280.3,376.8,10200.9,940.2,1980,"3Q"
11300,3409.1,2432.8,661.1,207.9,99.7,6515.1,1785.9,1124.6,392.2,88.3,700.4,1536.8,1308.4,375.5,10458.4,935,1980,"4Q"
11669.4,3495.4,2496.2,677.7,212.6,101.2,6719.1,1780.5,1155,403,95.2,808.2,1496.4,1323.4,482.8,10803.8,959.9,1981,"1Q"
11990,3643.7,2610.6,711.2,216.8,98.6,6861.4,1803.8,1189.3,409.2,100.4,843,1516.9,1327.9,492,11118,958.3,1981,"2Q"
12267.8,3700.4,2601.4,775.7,220.4,98.5,7031.6,1814.2,1217.6,413.3,106.6,889,1592.3,1326.8,498.3,11352.4,1018,1981,"3Q"
12507.6,3784,2582,876.6,223.3,100.6,7169.3,1836.8,1256.6,419.8,110.9,890.7,1617.2,1373.5,499.3,11583.7,1022.6,1981,"4Q"
12693,3857.6,2608.5,929.1,217.78333333333333,98.9,7287.3,1885.8,1296.3,426.9,117.5,769.2,1929.7,1375.4,470.3,11771.2,1012.4,1982,"1Q"
12892.5,3844.7,2528.8,994.7,225.7,98.4,7464.4,1886.3,1313.5,428.9,123,821.6,1937.3,1442.4,464.7,11926.6,1076.1,1982,"2Q"
13081.3,3877.1,2449.8,1100.1,230.5,102.5,7626.6,1906.8,1316.3,441.6,129.5,875.3,1926,1487.5,470,12124.8,1053.7,1982,"3Q"
13266,3845.1,2354.9,1160.8,235.5,102.1,7813.8,1924.3,1332.8,442.4,135.4,941.9,1926.1,1533.6,483.2,12276.1,1100.7,1982,"4Q"
13628.3,4065,2495.5,1234.4,235.1,108.7,7822.5,1957.4,1376.9,443.1,140,891.7,1930.1,1530,661.3,12616.3,1122.9,1983,"1Q"
13913.7,4150.2,2474.2,1331.9,249.1,107.2,7985.9,1965.5,1411,444.8,145.6,939,1940,1562.5,661,12874,1157,1983,"2Q"
14191.6,4150.2,2575,1380.3,252.1,105.5,8114.4,2012.3,1439.1,448.2,151.4,944.3,1952.2,1593.5,670.6,13175.7,1108,1983,"3Q"
14600.2,4498.2,2655.9,1500.8,252.3,106.3,8232.1,2037.8,1466.1,448,159.2,961.9,1966.8,1611.7,713.7,13539.2,1165.6,1983,"4Q"
15103,4668.4,2753.1,1572.1,257.5,104.8,8439.2,2073.7,1525.5,448.7,158.8,1031.2,1944.7,1637.6,870.1,14005.9,1204.8,1984,"1Q"
15259.9,4687,2763.1,1567.2,262.7,111.7,8552.6,2027.6,1599.2,457,163.1,1047.8,1944.6,1669.6,914.3,14157.3,1207.8,1984,"2Q"
15428.6,4677.4,2743.1,1576,265.8,110.7,8729.3,2111.8,1572.2,456.6,165.1,1117,1960,1690.6,950.8,14334.5,1187.7,1984,"3Q"
15475.2,4635.2,2705.9,1564.4,269.6,112.9,8823.4,2184.3,1592.4,457.3,171.5,1139.3,1961.9,1652.1,975.5,14388.5,1174,1984,"4Q"
15658.8,4595.9,2678.3,1546.5,278.9,110,8983.9,2130.3,1577.4,453.8,171.9,1204.7,2049.6,1730.6,1042.1,14528.8,1237.2,1985,"1Q"
15225.5,4204.8,2564.4,1274.3,276.3,101,9058.4,2044.9,1592.3,454.3,173.9,1225.7,2211.8,1722.9,1010.8,14136,1187.9,1985,"2Q"
15063.7,4103.2,2507.6,1238.8,271.3,96.6,8990.3,1967.7,1594.6,451.7,177.1,1287.1,2038.3,1729.1,1071,13978.6,1187,1985,"3Q"
14933.6,3933.3,2419.5,1162.8,272.5,89,9045.2,1956.3,1634.9,455.8,182,1266.4,2049.1,1762.4,1154.7,13872.3,1153.4,1985,"4Q"
14997.8,4006.1,2540.1,1107.3,278.7,88.4,9007.6,1915.9,1661.3,470.4,185.8,1200.7,2069.3,1794.5,1162.6,13923.2,1172.5,1986,"1Q"
15240.1,4149.5,2693.1,1089.4,287.9,86.6,9059.1,2018.9,1691.3,468.8,191.7,1220.8,1876.7,1808,1201.5,14156,1178.6,1986,"2Q"
15479.2,4121,2831.3,908.5,296,86.4,9288.4,2019.5,1727.2,487.9,196.3,1285.1,1910.3,1854.4,1236.7,14362.2,1222.9,1986,"3Q"
15909.4,4207.7,2931,888.8,303.9,84.6,9604.3,2073.1,1740,492.5,201.3,1252,2313.5,1900.1,1244.9,14774.2,1236.2,1986,"4Q"
16227.3,4268.2,2986.9,895.6,291.53333333333336,82.9,9805.5,1958.3,3688.382317073169,490.8,206.4,1398.7,2307.6,1960.7,1313.1,15070.1,1259.7,1987,"1Q"
16786,4415.8,3117.7,906,310.2,82.6,10154.5,2247.1,1789.2,516.8,212.3,1524.1,2075,1948.6,1332.9,15589.8,1301.6,1987,"2Q"
17370.5,4563.2,3284.9,879.6,321.2,77.6,10482,2316.3,1848.2,535.8,224.4,1606.1,2132.8,1952,1319.4,16073.7,1442.4,1987,"3Q"
17878.5,4772.6,3524.6,837.5,335.5,73.6,10709.8,2345.6,1882.1,566.1,233.1,1488.3,2423.2,2072.7,1359.2,16555.2,1466.2,1987,"4Q"
18023.7,4868.9,3638.3,826.6,335.5,67.5,10788.3,2342.7,1962.8,587.8,248,1414.8,2525.1,2059.5,1396.1,16759.1,1365.5,1988,"1Q"
18781.7,5057.2,3804.6,843,339.6,68.6,11243,2619.2,1990.6,600.3,256.4,1530.3,2539,2041.1,1407,17425.1,1485.9,1988,"2Q"
19272.9,5149,3894.1,839,347.9,66.4,11614.5,2734.6,2036.8,620.4,263.6,1605.9,2599.9,2082.8,1402,17891.4,1507.7,1988,"3Q"
19784.9,5198.4,3959.1,819.7,350.9,66.3,11907.9,2777.7,2088,645.3,272.5,1651.9,2703.8,2108.5,1463.6,18261.6,1717.8,1988,"4Q"
19803.4,5249.9,3999.3,827.3,354.9,66.1,11865.1,2527.7,2130.1,672.9,276.4,1639.4,2791.9,2157.6,1517.3,18302.7,1680.5,1989,"1Q"
20981.7,5417.3,4182.2,812.9,358.2,61.4,12815.9,2873.1,2166.9,684.2,284.4,1942.4,2878.3,2254.1,1522.9,19426.3,1724.5,1989,"2Q"
21213,5528,4252.4,846.2,362.8,64.3,12957.1,3017.6,2201.7,704.4,287.6,1875.3,2958.7,2259.9,1511.4,19686.9,1668.3,1989,"3Q"
21671.6,5678.4,4365,875.8,371.3,64.4,12959.1,2936.4,2268.1,707.5,306.3,1832.4,2969.2,2276.1,1536.4,19873.4,2091.4,1989,"4Q"
22658.1,5790.4,4456.2,886.6,383.4,63.8,13765.9,3120.8,2335.7,705,314.6,2169.7,2975.1,2341.5,1515.9,20782.2,2075.6,1990,"1Q"
22931.4,5894.6,4544.7,900,391,58.7,14000.7,3134.6,2374.9,706.8,324.5,2185.7,3076.2,2416.9,1516.4,21130.2,1965.1,1990,"2Q"
23170.8,5997.8,4669.7,878.9,391.1,55.6,14187.3,3108.6,2395.4,710.6,334.7,2276.3,3092.4,2451.3,1535.8,21440.3,1861.4,1990,"3Q"
23488.2,6139.3,4732.6,948.7,400.1,57.6,14386.5,3292.8,2411,724.9,343.1,2216.4,3159.4,2474.1,1543.9,21801.3,1792.9,1990,"4Q"
24045.2,6359.6,4911.7,989,404.5,53.7,14699.2,3446.3,2431.1,664,358.8,2300.5,3225.2,2508.5,1548.2,22362,1774.8,1991,"1Q"
24416.9,6296.5,4838.7,992.4,411,55.3,15066.5,3472.1,2499.7,716.7,370.6,2387,3258.2,2565.9,1550.2,22643.2,1892,1991,"2Q"
24854.4,6414.2,4841.2,1099.1,425.5,54.3,15245.2,3559.4,2573.7,733.2,380.9,2321.7,3308.9,2609.2,1568.6,22961.9,2046.9,1991,"3Q"
25013.1,6480.7,4832,1179.1,426,52.5,15392.6,3481.7,2612.5,745.7,382.6,2368.6,3387.1,2654.3,1567.1,23180.8,1959.2,1991,"4Q"
25466,6551.2,4854.2,1221.3,432.3,54,15667.6,3403.3,2624.8,767.4,417.1,2446,3549.9,2682.7,1563.9,23526.4,2097.9,1992,"1Q"
25872.5,6566.7,4843.9,1251.2,431.9,51.6,16100.2,3456.8,2604.7,773.2,423.1,2670.9,3604.2,2730.9,1563.3,23961,2049.4,1992,"2Q"
26636.4,6707.1,4978.1,1259.7,430.4,49.2,16645.1,3560.1,2643.1,782.3,441.5,2894.2,3643,2771.4,1583.3,24659.9,2121.7,1992,"3Q"
27320.2,6957.5,5177.1,1299.5,441.8,49.1,17067.2,3689.6,2696.1,779.8,456.7,3032.4,3671.4,2789.9,1569.4,25351.9,2094.1,1992,"4Q"
27784.8,6998.3,5240.9,1279.7,438.6,47.4,17402.7,4139.3,2777.9,792.7,476.2,2821.5,3726.6,2839.4,1606,25741.1,2188.1,1993,"1Q"
29147.1,7265.9,5413.7,1355.2,459.7,47.6,18349.4,4190.7,2864.6,813.8,497.6,3290.8,3795.6,2904.6,1615.1,26970.1,2341.5,1993,"2Q"
29639.7,7411.7,5500.9,1403.5,471.4,47.7,18668.2,4315.9,2925.1,827.5,516.2,3293.9,3830.2,2977.6,1636.1,27457.9,2336.5,1993,"3Q"
30883.8,7570.1,5608.5,1445.7,482.5,46.3,19548.8,4480.6,2970,841,532.7,3690.6,3886.9,3044.1,1649.2,28497.9,2591.1,1993,"4Q"
31631.3,8027,5867.2,1632.3,496.2,48.3,19886.9,4664.6,3014.3,852,544.7,3574.7,4139.6,3123.4,1658,29361.4,2412.1,1994,"1Q"
32081.1,8027,6104.4,1620.4,503.3,48.4,20048.6,4803.4,3060.9,834.5,557.5,3519.8,4119.3,3205.5,1676.7,29801.4,2415.1,1994,"2Q"
33052.6,8527.8,6260.5,1715.5,519.9,48.5,20588.8,4937.6,3165.4,871.5,581.3,3602.8,4227,3246.2,1697.1,30641.8,2574.6,1994,"3Q"
33437.4,8581.2,6291.8,1732,526.3,48.3,20822.9,5159.2,3250.3,864.7,624.3,3412.8,4298.3,3340.1,1724.4,30943.3,2681.5,1994,"4Q"
33161.7,8570.7,6349.6,1654.7,535.1,45.8,20523.5,5202.2,3295.8,871.8,642,3193.5,4083.5,3356.8,1708.6,30648.2,2681.7,1995,"1Q"
34296.9,8942,6583.6,1788.5,541.7,46,21339.8,5367.6,3380.7,885.4,666.6,3450,4305.1,3391.8,1714.9,31856.3,2592.5,1995,"2Q"
35793.7,9493.4,7043.3,1867.3,546.9,47.1,22174.4,5586.6,3454.8,921.5,686.7,3680.5,4467.2,3482.4,1733.6,33306.8,2637.1,1995,"3Q"
36063.3,9549.6,7000.4,1964.6,557,47.8,22285.7,5621.6,3491.7,926.1,705.2,3519.1,4568.5,3581.1,1754.4,33493.5,2730,1995,"4Q"
